Date,Food_Total_Entries,Food_Unique_Items,Food_Meal_Types,Food_Breakfast_Count,Food_Lunch_Count,Food_Dinner_Count,Food_Snack_Count,Food_Snack_Ratio,Food_Diversity_Index,Sleep_Total_Entries,Sleep_Unique_Metrics,Sleep_Duration_Hours,Sleep_Quality_Score,Sleep_Fall_Asleep_Minutes,Sleep_Caffeine_Count,Work_Total_Entries,Work_Unique_Metrics,Work_Average_Value,Work_Max_Value,Work_Activity_Diversity,Work_Trackwork_Count,Work_Gallop_Count,Work_Races_Count
2023-03-20,23,11,5,7,7,5,4,0.17391304347826086,0.4782608695652174,77,7,,,,0,8,3,4.375,5.0,0.375,6,1,0
2023-05-01,26,20,5,7,6,7,6,0.23076923076923078,0.7692307692307693,96,7,,,,0,12,5,4.636363636363637,9.0,0.4166666666666667,5,3,2
2023-06-12,38,29,6,7,7,6,18,0.47368421052631576,0.7631578947368421,98,7,,,,0,12,4,6.888888888888889,10.0,0.3333333333333333,6,2,1
2023-07-17,38,30,6,7,7,7,17,0.4473684210526316,0.7894736842105263,98,7,,,,0,17,7,5.538461538461538,9.0,0.4117647058823529,6,3,2
2023-10-09,35,31,6,7,7,7,14,0.4,0.8857142857142857,101,7,,,,0,14,4,5.615384615384615,10.0,0.2857142857142857,6,3,3
2023-11-20,27,26,6,6,7,7,7,0.25925925925925924,0.9629629629629629,111,7,,,,0,11,4,4.111111111111111,9.0,0.36363636363636365,3,3,3
2023-12-11,33,26,6,7,7,7,12,0.36363636363636365,0.7878787878787878,110,7,,,,0,14,5,4.916666666666667,10.0,0.35714285714285715,6,3,2
2024-03-04,33,20,6,7,7,7,12,0.36363636363636365,0.6060606060606061,99,7,,,,0,13,4,5.1,10.0,0.3076923076923077,6,3,1
2024-05-20,37,32,6,7,7,7,16,0.43243243243243246,0.8648648648648649,104,7,,,,0,15,4,5.181818181818182,10.0,0.26666666666666666,5,4,2
2024-07-01,39,31,6,7,7,7,18,0.46153846153846156,0.7948717948717948,105,7,,,,0,15,4,5.357142857142857,11.0,0.26666666666666666,6,5,2
2024-08-12,37,25,6,7,7,7,16,0.43243243243243246,0.6756756756756757,103,7,,,,0,16,5,4.866666666666666,12.0,0.3125,6,4,3
2024-10-14,37,33,6,7,7,7,16,0.43243243243243246,0.8918918918918919,104,7,,,,0,12,4,5.909090909090909,17.0,0.3333333333333333,4,2,3
2025-03-12,41,36,6,6,7,7,21,0.5121951219512195,0.8780487804878049,107,7,,,,0,13,4,5.25,9.0,0.3076923076923077,6,2,2
2025-03-13,0,0,0,0,0,0,0,0.0,0.0,99,7,,,,0,0,0,,,0.0,0,0,0
2025-04-23,35,26,6,7,7,7,14,0.4,0.7428571428571429,0,0,,,,0,15,5,3.642857142857143,9.0,0.3333333333333333,5,5,3
