Domain_Pair,Variable_1,Variable_2,Correlation
Food-Work,Food_Total_Entries,Work_Total_Entries,0.9169297366321372
Food-Work,Food_Dinner_Count,Work_Total_Entries,0.9151298039919561
Food-Work,Food_Meal_Types,Work_Total_Entries,0.894128201457549
Food-Work,Food_Breakfast_Count,Work_Trackwork_Count,0.868636091223596
Food-Work,Food_Breakfast_Count,Work_Activity_Diversity,0.8650589921243518
Food-Work,Food_Snack_Ratio,Work_Total_Entries,0.8599195596476991
Food-Work,Food_Breakfast_Count,Work_Total_Entries,0.8506984963254566
Food-Work,Food_Lunch_Count,Work_Total_Entries,0.8449630217235278
Food-Work,Food_Lunch_Count,Work_Trackwork_Count,0.8420904218701075
Food-Work,Food_Lunch_Count,Work_Activity_Diversity,0.8407984009281876
Food-Work,Food_Dinner_Count,Work_Unique_Metrics,0.8352207094835356
Food-Work,Food_Unique_Items,Work_Total_Entries,0.8230136191804194
Food-Work,Food_Meal_Types,Work_Trackwork_Count,0.8149332621614066
Food-Work,Food_Total_Entries,Work_Trackwork_Count,0.8131635151779819
Food-Work,Food_Dinner_Count,Work_Activity_Diversity,0.8089979110940817
Food-Work,Food_Meal_Types,Work_Activity_Diversity,0.8020315717731596
Food-Work,Food_Diversity_Index,Work_Total_Entries,0.7948836285209732
Food-Work,Food_Breakfast_Count,Work_Unique_Metrics,0.7930099386539053
Food-Work,Food_Meal_Types,Work_Unique_Metrics,0.7914894987620472
Food-Work,Food_Snack_Count,Work_Total_Entries,0.778359158485979
Food-Work,Food_Lunch_Count,Work_Unique_Metrics,0.7611190791272326
Food-Work,Food_Dinner_Count,Work_Trackwork_Count,0.7609576407176826
Food-Work,Food_Total_Entries,Work_Unique_Metrics,0.7582097381549421
Food-Work,Food_Diversity_Index,Work_Races_Count,0.7532690160014814
Food-Work,Food_Snack_Ratio,Work_Trackwork_Count,0.7231212757667425
Food-Work,Food_Diversity_Index,Work_Unique_Metrics,0.7120107521740094
Food-Work,Food_Diversity_Index,Work_Activity_Diversity,0.7097874320115248
Food-Work,Food_Dinner_Count,Work_Gallop_Count,0.706771286426684
Food-Work,Food_Unique_Items,Work_Races_Count,0.7040506623928693
Food-Work,Food_Dinner_Count,Work_Races_Count,0.6895718279012055
Food-Work,Food_Snack_Ratio,Work_Unique_Metrics,0.6699683305578987
Food-Work,Food_Unique_Items,Work_Unique_Metrics,0.6606066720190606
Food-Work,Food_Snack_Count,Work_Trackwork_Count,0.6430654425900915
Food-Work,Food_Meal_Types,Work_Gallop_Count,0.6426128849566801
Food-Work,Food_Total_Entries,Work_Gallop_Count,0.6384018840355729
Food-Work,Food_Total_Entries,Work_Activity_Diversity,0.6312417564760409
Food-Work,Food_Breakfast_Count,Work_Gallop_Count,0.6072015770015518
Food-Work,Food_Meal_Types,Work_Races_Count,0.600001176358719
Food-Work,Food_Unique_Items,Work_Trackwork_Count,0.5913688454718269
Food-Work,Food_Snack_Ratio,Work_Gallop_Count,0.5906166375246383
Food-Work,Food_Snack_Count,Work_Average_Value,0.5817991044564181
Food-Work,Food_Total_Entries,Work_Races_Count,0.5813946229820284
Food-Work,Food_Lunch_Count,Work_Gallop_Count,0.5810526391981856
Food-Work,Food_Snack_Ratio,Work_Average_Value,0.5800046513965483
Food-Work,Food_Diversity_Index,Work_Gallop_Count,0.5781040136807628
Food-Work,Food_Snack_Count,Work_Unique_Metrics,0.5731890661915277
Food-Work,Food_Unique_Items,Work_Gallop_Count,0.5705586889057712
Food-Work,Food_Diversity_Index,Work_Trackwork_Count,0.5678318423041407
Food-Work,Food_Total_Entries,Work_Average_Value,0.559086173234541
Food-Work,Food_Unique_Items,Work_Max_Value,0.5547921202072557
Food-Work,Food_Snack_Ratio,Work_Races_Count,0.5528692685454646
Sleep-Work,Sleep_Unique_Metrics,Work_Average_Value,0.5234145578716705
Food-Work,Food_Dinner_Count,Work_Max_Value,0.5227083734893169
Sleep-Work,Sleep_Total_Entries,Work_Average_Value,0.5198938461699473
Food-Work,Food_Snack_Count,Work_Gallop_Count,0.5180682287860411
Food-Work,Food_Lunch_Count,Work_Races_Count,0.5153061224489796
Food-Work,Food_Total_Entries,Work_Max_Value,0.5102611504500718
Food-Work,Food_Unique_Items,Work_Activity_Diversity,0.5094776586864022
Food-Work,Food_Snack_Ratio,Work_Max_Value,0.50223042960895
Food-Work,Food_Meal_Types,Work_Max_Value,0.5000000000000006
Food-Work,Food_Snack_Count,Work_Races_Count,0.4854352867701582
Food-Work,Food_Unique_Items,Work_Average_Value,0.4814762984921203
Food-Work,Food_Breakfast_Count,Work_Races_Count,0.47518298810084836
Food-Work,Food_Snack_Count,Work_Max_Value,0.4687633574802289
Food-Work,Food_Snack_Ratio,Work_Activity_Diversity,0.4586387512280704
Food-Work,Food_Diversity_Index,Work_Max_Value,0.44364513337377737
Sleep-Work,Sleep_Unique_Metrics,Work_Gallop_Count,-0.4353036494327546
Food-Work,Food_Snack_Count,Work_Activity_Diversity,0.3169185955326911
Food-Work,Food_Meal_Types,Work_Average_Value,0.31400201956559026
Sleep-Work,Sleep_Total_Entries,Work_Gallop_Count,-0.29945147587189624
Sleep-Work,Sleep_Unique_Metrics,Work_Races_Count,-0.2857142857142858
Sleep-Work,Sleep_Total_Entries,Work_Max_Value,0.259536267862623
Food-Work,Food_Breakfast_Count,Work_Average_Value,0.22149196908346852
Food-Work,Food_Diversity_Index,Work_Average_Value,0.2005982033172634
