Date,Total_Food_Entries,Unique_Meals,Total_Sleep_Entries,Sleep_Metrics_Count,Total_Work_Entries,Work_Metrics_Count
2023-03-20,23,5,77,7,8,3
2023-05-01,26,5,96,7,12,5
2023-06-12,38,6,98,7,12,4
2023-07-17,38,6,98,7,17,7
2023-10-09,35,6,101,7,14,4
2023-11-20,27,6,111,7,11,4
2023-12-11,33,6,110,7,14,5
2024-03-04,33,6,99,7,13,4
2024-05-20,37,6,104,7,15,4
2024-07-01,39,6,105,7,15,4
2024-08-12,37,6,103,7,16,5
2024-10-14,37,6,104,7,12,4
2025-03-12,41,6,107,7,13,4
2025-03-13,0,0,99,7,0,0
2025-04-23,35,6,0,0,15,5
