Test_Number,Test_Date,Day_Type,Meal_Type,Food_Item
1,2023-03-20,Monday,Breakfast,sandwich
1,2023-03-20,,Lunch,"Chicken, rice, salad"
1,2023-03-20,Tuesday,Breakfast,toasts
1,2023-03-20,,Lunch,toasts
1,2023-03-20,,Dinner,"beef mince, pasta"
1,2023-03-20,Wednesday,Breakfast,toast
1,2023-03-20,,Snack1,biscuits
1,2023-03-20,,Lunch,toast
1,2023-03-20,,Dinner,fried chicken
1,2023-03-20,Thursday,Breakfast,toast
1,2023-03-20,,Snack1,biscuits
1,2023-03-20,,Lunch,toast
1,2023-03-20,,Dinner,fried rice and beef
1,2023-03-20,Friday,Breakfast,toast
1,2023-03-20,,Lunch,toast
1,2023-03-20,,Dinner,chicken and pasta
1,2023-03-20,Saturday,Breakfast,toast
1,2023-03-20,,Lunch,toast
1,2023-03-20,,Snack2,chocolate
1,2023-03-20,,Dinner,pizza
1,2023-03-20,Sunday,Breakfast,toast
1,2023-03-20,,Lunch,sandwich
1,2023-03-20,,Snack2,chocolate
2,2023-05-01,Monday,Breakfast,rice and chicken
2,2023-05-01,,Snack1,cookie
2,2023-05-01,,Lunch,cereal and milk
2,2023-05-01,,Dinner,rice and chicken
2,2023-05-01,Tuesday,Breakfast,rice and chicken and broccoli
2,2023-05-01,,Snack1,gummies
2,2023-05-01,,Lunch,toast and tea
2,2023-05-01,,Dinner,rice and chicken and beer
2,2023-05-01,Wednesday,Breakfast,toast and ham and tea
2,2023-05-01,,Lunch,cereal and milk
2,2023-05-01,,Snack2,chocolate
2,2023-05-01,,Dinner,rice and pork
2,2023-05-01,Thursday,Breakfast,toast and cheese and tea
2,2023-05-01,,Lunch,chicken wrap
2,2023-05-01,,Snack2,biscuits
2,2023-05-01,,Dinner,rice and pork and beer
2,2023-05-01,Friday,Breakfast,rice and pork and spinach
2,2023-05-01,,Snack1,gummies
2,2023-05-01,,Lunch,toast
2,2023-05-01,,Dinner,burger
2,2023-05-01,Saturday,Breakfast,cereal and milk
2,2023-05-01,,Snack2,chocolate and tea
2,2023-05-01,,Dinner,burger
2,2023-05-01,Sunday,Breakfast,toast and cheese and ham
2,2023-05-01,,Lunch,toast
2,2023-05-01,,Dinner,bread and mushrooms and beer
3,2023-06-12,Monday,Breakfast,toasts
3,2023-06-12,,Snack1,nuts
3,2023-06-12,,Lunch,dahl and roti
3,2023-06-12,Tuesday,Breakfast,chicken wrap and coffee
3,2023-06-12,,Snack1,cookies
3,2023-06-12,,Lunch,chicken and rice
3,2023-06-12,,Snack2,chips
